x,y,cp,yplus,cf,source,surface
0.0,0.0,0.85451865,1.4449351,0.0,SU2,upper
0.00067112,0.00456407,0.42090234,1.7702492,0.0029013297,SU2,upper
0.00067112,-0.00456407,1.0144339,0.5708358,-0.0002996785,SU2,lower
0.00292265,0.00940778,-0.08507474,1.7577596,0.0052522547,SU2,upper
0.00292265,-0.00940778,0.938696,1.1198174,0.0021045739,SU2,lower
0.00683657,0.0142026,-0.45671877,1.7964954,0.0072581754,SU2,upper
0.00683657,-0.0142026,0.69433945,1.3218873,0.0038752141,SU2,lower
0.01232743,0.01881501,-0.64448625,1.712011,0.0075670932,SU2,upper
0.01232743,-0.01881501,0.46953925,1.2888653,0.004259271,SU2,lower
0.01935385,0.02324156,-0.73877895,1.6311902,0.0074007832,SU2,upper
0.01935385,-0.02324156,0.28766713,1.3264446,0.0048715714,SU2,lower
0.02796671,0.02751521,-0.77137643,1.532166,0.0068142363,SU2,upper
0.02796671,-0.02751521,0.15236393,1.3616884,0.005363113,SU2,lower
0.0382949,0.03166534,-0.777187,1.4213059,0.006012855,SU2,upper
0.0382949,-0.03166534,0.050427683,1.3674576,0.0055507724,SU2,lower
0.05052902,0.03570647,-0.7640906,1.29231,0.0050494936,SU2,upper
0.05052902,-0.03570647,-0.02666032,1.3373542,0.005395753,SU2,lower
0.0649164,-0.03963662,-0.08618742,1.2849134,0.0050461693,SU2,lower
0.0649164,0.03963662,-0.74404436,1.1884913,0.0043263156,SU2,upper
0.08175679,0.04343536,-0.7188456,1.1390811,0.004007132,SU2,upper
0.08175679,-0.04343536,-0.13145803,1.2387908,0.004729873,SU2,lower
0.10140766,0.0470634,-0.69122326,1.1278522,0.003957303,SU2,upper
0.10140766,-0.0470634,-0.16599777,1.2108724,0.004553362,SU2,lower
0.12428725,0.05045996,-0.6606059,1.1312257,0.003998023,SU2,upper
0.12428725,-0.05045996,-0.19169737,1.197582,0.004474078,SU2,lower
0.15088277,-0.05354039,-0.2095967,1.1890244,0.0044308584,SU2,lower
0.15088277,0.05354039,-0.6270221,1.1359866,0.0040498083,SU2,upper
0.18175931,-0.05619292,-0.21987325,1.1844753,0.0044093993,SU2,lower
0.18175931,0.05619292,-0.58992106,1.1419045,0.004103129,SU2,upper
0.21572939,0.05819104,-0.5542527,1.1481186,0.004159135,SU2,upper
0.21572939,-0.05819104,-0.22555035,1.1830078,0.004410707,SU2,lower
0.24979869,0.05940242,-0.52133644,1.1543113,0.0041947835,SU2,upper
0.24979869,-0.05940242,-0.22653529,1.1831173,0.004402537,SU2,lower
0.28388527,0.0599503,-0.48761955,1.1554292,0.0042070113,SU2,upper
0.28388527,-0.0599503,-0.2216745,1.1802491,0.004386082,SU2,lower
0.3179764,-0.05993183,-0.21433082,1.1785375,0.004373759,SU2,lower
0.3179764,0.05993183,-0.45554104,1.1562433,0.0042129415,SU2,upper
0.3520638,-0.05942379,-0.2048433,1.177444,0.004363485,SU2,lower
0.3520638,0.05942379,-0.4243823,1.1568518,0.0042149737,SU2,upper
0.38614222,0.05848844,-0.3944454,1.1576179,0.0042168056,SU2,upper
0.38614222,-0.05848844,-0.19408669,1.1778167,0.004362626,SU2,lower
0.42020828,0.0571772,-0.36549035,1.1581104,0.0042161406,SU2,upper
0.42020828,-0.0571772,-0.18235172,1.1779058,0.004359143,SU2,lower
0.45425993,0.05553304,-0.33752006,1.1584427,0.0042140363,SU2,upper
0.45425993,-0.05553304,-0.16993006,1.1778194,0.004354067,SU2,lower
0.488296,-0.0535921,-0.15701267,1.1778547,0.0043499134,SU2,lower
0.488296,0.0535921,-0.31038287,1.1587191,0.004211559,SU2,upper
0.52231586,0.05138482,-0.2840576,1.1573087,0.0042077033,SU2,upper
0.52231586,-0.05138482,-0.1437605,1.1762882,0.0043451497,SU2,lower
0.55631924,0.04893675,-0.25838828,1.1567297,0.0042013186,SU2,upper
0.55631924,-0.04893675,-0.13027385,1.175649,0.0043383627,SU2,lower
0.5903061,0.0462692,-0.23313323,1.1568052,0.004199071,SU2,upper
0.5903061,-0.0462692,-0.11636504,1.1755736,0.004335089,SU2,lower
0.6242765,0.04339965,-0.20844099,1.1558229,0.0041908296,SU2,upper
0.6242765,-0.04339965,-0.102464356,1.1746703,0.004327435,SU2,lower
0.65823054,0.04034213,-0.18367213,1.1548316,0.004182708,SU2,upper
0.65823054,-0.04034213,-0.08786863,1.1739984,0.0043216576,SU2,lower
0.6921681,-0.0371075,-0.07310888,1.1723629,0.0043108882,SU2,lower
0.6921681,0.0371075,-0.15901843,1.1527728,0.0041688927,SU2,upper
0.7260892,-0.03370364,-0.05711028,1.1710316,0.0043016355,SU2,lower
0.7260892,0.03370364,-0.13358513,1.1509343,0.004155996,SU2,upper
0.7599934,0.03013566,-0.1078229,1.1492014,0.0041363705,SU2,upper
0.7599934,-0.03013566,-0.04080179,1.1698308,0.004285563,SU2,lower
0.79388016,0.02640605,-0.07992709,1.1443576,0.0041142567,SU2,upper
0.79388016,-0.02640605,-0.021990607,1.1655575,0.004267579,SU2,lower
0.8271899,0.02258031,-0.051399477,1.1394094,0.004083245,SU2,upper
0.8271899,-0.02258031,-0.002824361,1.1610765,0.0042396067,SU2,lower
0.85912657,-0.01876119,0.02058726,1.1573764,0.004208965,SU2,lower
0.85912657,0.01876119,-0.01941095,1.1349744,0.004047899,SU2,upper
0.88973904,-0.0149576,0.044160943,1.150225,0.0041625276,SU2,lower
0.88973904,0.0149576,0.013494576,1.1277077,0.004001346,SU2,upper
0.91908157,0.01117555,0.05398902,1.1185871,0.0039433795,SU2,upper
0.91908157,-0.01117555,0.077010304,1.1414753,0.004106272,SU2,lower
0.9472063,0.00741963,0.09909605,1.1084472,0.0038789702,SU2,upper
0.9472063,-0.00741963,0.113012694,1.1299533,0.0040309117,SU2,lower
0.9741632,0.00369345,0.16531616,1.1724699,0.004339645,SU2,upper
0.9741632,-0.00369345,0.17737037,1.2349397,0.0048145996,SU2,lower
3e-05,0.0009,0.75178,,0.006202,xfoil,upper
3e-05,-0.0009,0.87791,,0.004821,xfoil,lower
0.00024,-0.00274,0.96593,,0.002516,xfoil,lower
0.00024,0.00274,0.58377,,0.008384,xfoil,upper
0.00069,0.00463,0.3809,,0.009253,xfoil,upper
0.00069,-0.00463,1.00326,,0.000607,xfoil,lower
0.0014,-0.00655,0.99461,,0.001298,xfoil,lower
0.0014,0.00655,0.18264,,0.009582,xfoil,upper
0.00237,0.00848,-0.02406,,0.010281,xfoil,upper
0.00237,-0.00848,0.94617,,0.00262,xfoil,lower
0.00359,-0.0104,0.8665,,0.004021,xfoil,lower
0.00359,0.0104,-0.18776,,0.008976,xfoil,upper
0.00507,0.0123,-0.33837,,0.009196,xfoil,upper
0.00507,-0.0123,0.7813,,0.003981,xfoil,lower
0.00683,-0.0142,0.68286,,0.005102,xfoil,lower
0.00683,0.0142,-0.45013,,0.007801,xfoil,upper
0.00887,-0.01609,0.5921,,0.004427,xfoil,lower
0.00887,0.01609,-0.5447,,0.00744,xfoil,upper
0.01122,0.01799,-0.61201,,0.006424,xfoil,upper
0.01122,-0.01799,0.49565,,0.005187,xfoil,lower
0.0139,-0.01991,0.41349,,0.004386,xfoil,lower
0.0139,0.01991,-0.66714,,0.005912,xfoil,upper
0.01695,0.02185,-0.70085,,0.005064,xfoil,upper
0.01695,-0.02185,0.33504,,0.004573,xfoil,lower
0.02044,-0.02383,0.26274,,0.00418,xfoil,lower
0.02044,0.02383,-0.72708,,0.004593,xfoil,upper
0.02443,0.02587,-0.74694,,0.00414,xfoil,upper
0.02443,-0.02587,0.19505,,0.004028,xfoil,lower
0.02902,-0.02798,0.13567,,0.003675,xfoil,lower
0.02902,0.02798,-0.75613,,0.003613,xfoil,upper
0.03431,0.03016,-0.76091,,0.003241,xfoil,upper
0.03431,-0.03016,0.08125,,0.003442,xfoil,lower
0.04044,-0.03243,0.0306,,0.003201,xfoil,lower
0.04044,0.03243,-0.7577,,0.002823,xfoil,upper
0.04753,0.03479,-0.75371,,0.002564,xfoil,upper
0.04753,-0.03479,-0.01473,,0.002938,xfoil,lower
0.05573,-0.03721,-0.05561,,0.002707,xfoil,lower
0.05573,0.03721,-0.74395,,0.002248,xfoil,upper
0.06509,0.03968,-0.73278,,0.002021,xfoil,upper
0.06509,-0.03968,-0.09193,,0.002487,xfoil,lower
0.07564,-0.04214,-0.12291,,0.002273,xfoil,lower
0.07564,0.04214,-0.71808,,0.001786,xfoil,upper
0.08728,0.04453,-0.70192,,0.001597,xfoil,upper
0.08728,-0.04453,-0.14986,,0.002099,xfoil,lower
0.09988,-0.04681,-0.17085,,0.001911,xfoil,lower
0.09988,0.04681,-0.68523,,0.00144,xfoil,upper
0.11324,0.04892,-0.66801,,0.001301,xfoil,upper
0.11324,-0.04892,-0.18866,,0.001776,xfoil,lower
0.12719,-0.05084,-0.20276,,0.001645,xfoil,lower
0.12719,0.05084,-0.65061,,0.001179,xfoil,upper
0.14161,0.05256,-0.63288,,0.001067,xfoil,upper
0.14161,-0.05256,-0.2129,,0.001516,xfoil,lower
0.15637,-0.05408,-0.2215,,0.001425,xfoil,lower
0.15637,0.05408,-0.61501,,0.000965,xfoil,upper
0.17141,0.0554,-0.59858,,0.000895,xfoil,upper
0.17141,-0.0554,-0.22725,,0.001326,xfoil,lower
0.18667,-0.05654,-0.23125,,0.001242,xfoil,lower
0.18667,0.05654,-0.58097,,0.000805,xfoil,upper
0.2021,0.05749,-0.56444,,0.00074,xfoil,upper
0.2021,-0.05749,-0.23359,,0.001165,xfoil,lower
0.21769,-0.05828,-0.23445,,0.001092,xfoil,lower
0.21769,0.05828,-0.54832,,0.000681,xfoil,upper
0.23339,0.05891,-0.532,,0.000618,xfoil,upper
0.23339,-0.05891,-0.2342,,0.001028,xfoil,lower
0.24921,0.05939,-0.51623,,0.000565,xfoil,upper
0.24921,-0.05939,-0.23319,,0.000971,xfoil,lower
0.26512,-0.05972,-0.23156,,0.00092,xfoil,lower
0.26512,0.05972,-0.50129,,0.000523,xfoil,upper
0.28111,0.05993,-0.48668,,0.000482,xfoil,upper
0.28111,-0.05993,-0.22867,,0.000864,xfoil,lower
0.29718,-0.06001,-0.22535,,0.000816,xfoil,lower
0.29718,0.06001,-0.47366,,0.00046,xfoil,upper
0.31331,0.05996,-0.46305,,0.000463,xfoil,upper
0.31331,-0.05996,-0.22182,,0.000775,xfoil,lower
0.32949,-0.05981,-0.21746,,0.000731,xfoil,lower
0.32949,0.05981,-0.44838,,0.000762,xfoil,upper
0.34573,0.05955,-0.40548,,0.002822,xfoil,upper
0.34573,-0.05955,-0.21286,,0.000692,xfoil,lower
0.36202,-0.05919,-0.20812,,0.000658,xfoil,lower
0.36202,0.05919,-0.38986,,0.004523,xfoil,upper
0.37835,0.05874,-0.37967,,0.005169,xfoil,upper
0.37835,-0.05874,-0.20294,,0.000623,xfoil,lower
0.39472,-0.05819,-0.19746,,0.000589,xfoil,lower
0.39472,0.05819,-0.36876,,0.005231,xfoil,upper
0.41113,0.05756,-0.35755,,0.005108,xfoil,upper
0.41113,-0.05756,-0.1917,,0.000556,xfoil,lower
0.42756,-0.05685,-0.18595,,0.000528,xfoil,lower
0.42756,0.05685,-0.34541,,0.004937,xfoil,upper
0.44403,0.05606,-0.33326,,0.004769,xfoil,upper
0.44403,-0.05606,-0.18032,,0.000504,xfoil,lower
0.46052,-0.0552,-0.17425,,0.000476,xfoil,lower
0.46052,0.0552,-0.32072,,0.004612,xfoil,upper
0.47704,0.05426,-0.30791,,0.004469,xfoil,upper
0.47704,-0.05426,-0.16815,,0.000451,xfoil,lower
0.49358,-0.05327,-0.1618,,0.000425,xfoil,lower
0.49358,0.05327,-0.2953,,0.004342,xfoil,upper
0.51014,0.0522,-0.28326,,0.004232,xfoil,upper
0.51014,-0.0522,-0.15579,,0.000405,xfoil,lower
0.52671,0.05108,-0.27072,,0.004125,xfoil,upper
0.52672,-0.05108,-0.14935,,0.00038,xfoil,lower
0.54331,-0.0499,-0.14319,,0.000361,xfoil,lower
0.54331,0.0499,-0.25836,,0.004028,xfoil,upper
0.55992,0.04866,-0.24628,,0.003939,xfoil,upper
0.55992,-0.04866,-0.13678,,0.00034,xfoil,lower
0.57654,-0.04738,-0.13064,,0.000322,xfoil,lower
0.57654,0.04738,-0.23404,,0.003853,xfoil,upper
