x,y,cp,yplus,cf,source,surface
-0.00065294,0.00443281,-1.3008248,2.5906801,-9.070904e-05,SU2,upper
-9.6e-07,0.00904034,-2.0739422,2.466754,0.005292795,SU2,upper
3.77e-05,-0.00012173,-0.21753086,2.3517766,-0.005538467,SU2,lower
0.0020268,0.01403597,-2.495475,2.4384453,0.009126303,SU2,upper
0.00247117,-0.00483796,0.56003857,1.758725,-0.0057925377,SU2,lower
0.00545191,0.01925775,-2.6295996,2.285106,0.010394065,SU2,upper
0.00684959,-0.00915726,0.9783247,1.0096015,-0.0025190564,SU2,lower
0.01027974,0.02464231,-2.6474628,2.1598933,0.0107537005,SU2,upper
0.01296433,-0.01282789,1.0017856,0.7367907,0.0015336188,SU2,lower
0.01657066,0.03016794,-2.6058695,2.0536823,0.010661528,SU2,upper
0.02062769,-0.01591729,0.93432057,1.0012944,0.0029943727,SU2,lower
0.02444867,0.03581555,-2.5470166,1.9456681,0.010187828,SU2,upper
0.02981895,-0.01857487,0.8444653,1.1030318,0.0037347544,SU2,lower
0.03409471,0.04154827,-2.478182,1.8437097,0.009598085,SU2,upper
0.0406396,-0.02094269,0.7677073,1.1855364,0.004351947,SU2,lower
0.04574009,0.04729985,-2.3978252,1.7558986,0.009004747,SU2,upper
0.05327019,-0.02314775,0.69917697,1.2425448,0.0048016286,SU2,lower
0.05966535,0.0529682,-2.3004124,1.6603199,0.008249147,SU2,upper
0.06795382,-0.02530923,0.64091086,1.2680007,0.0050103366,SU2,lower
0.07619558,0.05840887,-2.1791122,1.543211,0.007266872,SU2,upper
0.08498747,-0.027541,0.58520526,1.2692946,0.005024502,SU2,lower
0.09570217,0.06343579,-2.0311582,1.3905499,0.0059949583,SU2,upper
0.10472665,-0.02994612,0.5309004,1.2608491,0.0049554515,SU2,lower
0.11860121,0.06782974,-1.8571085,1.2213265,0.0046590166,SU2,upper
0.12759037,-0.0325971,0.47391754,1.2589792,0.0049386634,SU2,lower
0.14535816,0.07136649,-1.6603851,1.0668523,0.003588332,SU2,upper
0.15407392,-0.03549642,0.4123709,1.2574266,0.0049459636,SU2,lower
0.1764987,0.07387925,-1.4526991,1.0004009,0.0031569637,SU2,upper
0.1847644,-0.03850554,0.34612742,1.252454,0.004902769,SU2,lower
0.21077438,0.0753313,-1.2691815,1.0160401,0.0032695,SU2,upper
0.2185229,-0.0411313,0.28584564,1.2409118,0.0048226425,SU2,lower
0.2451385,0.07592605,-1.1292305,1.0487192,0.0034729347,SU2,upper
0.25239342,-0.04300134,0.24050206,1.2278178,0.004726314,SU2,lower
0.27950782,0.07582632,-1.0156409,1.0706385,0.0036190737,SU2,upper
