NACA23012
1.000000 -0.000000
0.974040 0.004296
0.946953 0.008650
0.918688 0.013058
0.889196 0.017519
0.858425 0.022029
0.826320 0.026582
0.792830 0.031172
0.758757 0.035676
0.724662 0.040016
0.690546 0.044190
0.656410 0.048191
0.622253 0.052013
0.588075 0.055642
0.553876 0.059066
0.519656 0.062264
0.485413 0.065216
0.451147 0.067894
0.416860 0.070267
0.382550 0.072297
0.348219 0.073938
0.313870 0.075136
0.279508 0.075826
0.245139 0.075926
0.210774 0.075331
0.176499 0.073879
0.145358 0.071366
0.118601 0.067830
0.095702 0.063436
0.076196 0.058409
0.059665 0.052968
0.045740 0.047300
0.034095 0.041548
0.024449 0.035816
0.016571 0.030168
0.010280 0.024642
0.005452 0.019258
0.002027 0.014036
-0.000001 0.009040
-0.000653 0.004433
0.000038 -0.000122
0.002471 -0.004838
0.006850 -0.009157
0.012964 -0.012828
0.020628 -0.015917
0.029819 -0.018575
0.040640 -0.020943
0.053270 -0.023148
0.067954 -0.025309
0.084987 -0.027541
0.104727 -0.029946
0.127590 -0.032597
0.154074 -0.035496
0.184764 -0.038506
0.218523 -0.041131
0.252393 -0.043001
0.286294 -0.044228
0.320209 -0.044903
0.354131 -0.045100
0.388053 -0.044881
0.421970 -0.044293
0.455881 -0.043379
0.489782 -0.042174
0.523673 -0.040707
0.557553 -0.039003
0.591421 -0.037083
0.625277 -0.034964
0.659122 -0.032659
0.692954 -0.030179
0.726773 -0.027531
0.760579 -0.024721
0.794371 -0.021751
0.827592 -0.018673
0.859446 -0.015572
0.889983 -0.012459
0.919256 -0.009340
0.947317 -0.006221
0.974216 -0.003106
1.000000 0.000000
