x,y,cp,yplus,cf,source,surface
0.0,0.0,0.35207352,2.046423,0.0,SU2,upper
0.00158659,0.0069752,-0.68304735,2.0757346,0.0059449766,SU2,upper
0.00158659,-0.0069752,0.9742354,1.1491963,-0.0017846121,SU2,lower
0.00683657,0.0142026,-1.297638,1.9582908,0.008701366,SU2,upper
0.00683657,-0.0142026,0.95855975,1.1050838,0.0027221409,SU2,lower
0.01564778,0.02104975,-1.4078693,1.6078005,0.007035209,SU2,upper
0.01564778,-0.02104975,0.7225313,1.3503389,0.0049380898,SU2,lower
0.02796671,0.02751521,-1.3568488,1.3607408,0.0054227593,SU2,upper
0.02796671,-0.02751521,0.48227316,1.3428258,0.005259502,SU2,lower
0.04415945,0.03369922,-1.2351699,1.1974989,0.00432898,SU2,upper
0.04415945,-0.03369922,0.318717,1.2916669,0.005008605,SU2,lower
0.0649164,0.03963662,-1.1243346,1.1649951,0.0041739037,SU2,upper
0.0649164,-0.03963662,0.18238388,1.2626423,0.004879414,SU2,lower
0.09120618,0.04527397,-1.0150381,1.1748142,0.0042890846,SU2,upper
0.09120618,-0.04527397,0.089650184,1.2469301,0.0048129894,SU2,lower
0.12428725,0.05045996,-0.9150639,1.1894472,0.0044253105,SU2,upper
0.12428725,-0.05045996,0.014657828,1.2415776,0.0048063495,SU2,lower
0.16574739,-0.05492828,-0.034766905,1.2364,0.0047913725,SU2,lower
0.16574739,0.05492828,-0.8145285,1.1981553,0.0045114723,SU2,upper
0.21572939,0.05819104,-0.7222505,1.2054626,0.004579007,SU2,upper
0.21572939,-0.05819104,-0.071111925,1.236025,0.004802999,SU2,lower
0.26684073,0.05975266,-0.6479033,1.2078881,0.0046058083,SU2,upper
0.26684073,-0.05975266,-0.09202175,1.2338895,0.004797171,SU2,lower
0.3179764,0.05993183,-0.5776543,1.2091789,0.0046088137,SU2,upper
0.3179764,-0.05993183,-0.09836465,1.2328035,0.0047834055,SU2,lower
0.36910436,-0.05900609,-0.097512364,1.23362,0.0047764806,SU2,lower
0.36910436,0.05900609,-0.5149286,1.2116948,0.004614044,SU2,upper
0.42020828,-0.0571772,-0.09219672,1.2318847,0.004768699,SU2,lower
0.42020828,0.0571772,-0.45690006,1.2115062,0.0046171676,SU2,upper
0.47127998,0.05459765,-0.40329024,1.2109188,0.004616636,SU2,upper
0.47127998,-0.05459765,-0.083626226,1.2303637,0.0047617746,SU2,lower
0.52231586,0.05138482,-0.35315287,1.2113994,0.00461335,SU2,upper
0.52231586,-0.05138482,-0.073368825,1.2292151,0.0047463514,SU2,lower
0.5733147,0.04762923,-0.30532238,1.2114346,0.004609086,SU2,upper
0.5733147,-0.04762923,-0.06103855,1.228857,0.004739503,SU2,lower
