"Time_Iter","Outer_Iter","Inner_Iter",       "CD"       ,       "CL"       ,       "CMz"      
          0,           0,           0,      0.9785414863,      0.7897861538,       0.202122891
          0,           0,           1,        1.16227192,      0.9388981485,      0.2339021408
          0,           0,           2,       1.213134469,      0.9812071351,      0.2445029728
          0,           0,           3,       1.209115815,      0.9741160758,      0.2431459378
          0,           0,           4,       1.193296304,       0.958825933,      0.2398382989
          0,           0,           5,       1.178272139,      0.9462047476,      0.2371889337
          0,           0,           6,       1.164615394,      0.9359409501,      0.2349879029
          0,           0,           7,       1.152165449,      0.9270486913,      0.2330220531
          0,           0,           8,       1.140508732,      0.9188592293,      0.2311484732
          0,           0,           9,       1.129558552,      0.9111209937,      0.2293155429
          0,           0,          10,       1.119194016,      0.9037755067,      0.2275182907
          0,           0,          11,       1.109077244,      0.8963656563,      0.2255969042
          0,           0,          12,       1.098068098,      0.8888809531,      0.2236417906
          0,           0,          13,       1.085328794,      0.8816922359,      0.2218017267
          0,           0,          14,       1.069342406,      0.8752670195,      0.2202343275
          0,           0,          15,       1.047379433,      0.8699255581,      0.2190284411
          0,           0,          16,       1.015495832,      0.8654127456,      0.2180439637
          0,           0,          17,      0.9652264459,      0.8597745461,      0.2167191979
          0,           0,          18,      0.8967410338,      0.8506497564,      0.2142658246
          0,           0,          19,      0.8074567726,       0.834209474,      0.2094843402
          0,           0,          20,       0.678371778,      0.7995705586,       0.198865415
          0,           0,          21,      0.5008856973,      0.7317648033,      0.1772120121
          0,           0,          22,       0.275205421,      0.6141393103,       0.138725054
          0,           0,          23,     0.02158811258,      0.4383003758,     0.08090997516
          0,           0,          24,     -0.1010728927,       0.342512309,     0.04991836678
          0,           0,          25,     -0.2263007341,      0.2230331506,     0.01094659927
          0,           0,          26,     -0.3407949561,     0.08113135876,    -0.03555524285
          0,           0,          27,     -0.4235849648,    -0.07656468177,    -0.08694782712
          0,           0,          28,     -0.4507925192,     -0.2361488183,     -0.1383768936
          0,           0,          29,     -0.4161464394,     -0.3642518926,     -0.1790738797
          0,           0,          30,     -0.3833204735,     -0.4208427456,      -0.197221673
          0,           0,          31,     -0.3305810727,     -0.4700713849,     -0.2122852366
          0,           0,          32,     -0.2559510952,     -0.5069718341,     -0.2223808043
          0,           0,          33,     -0.1593218019,      -0.524872297,      -0.224815559
          0,           0,          34,    -0.04413302381,     -0.5153424601,     -0.2168131194
          0,           0,          35,     0.08201278021,     -0.4675730582,     -0.1956183502
          0,           0,          36,      0.2064523467,     -0.3775633488,     -0.1593342238
          0,           0,          37,      0.3097487118,     -0.2493148542,     -0.1101080089
          0,           0,          38,      0.3747747618,    -0.09604626291,    -0.05348720098
          0,           0,          39,      0.3944958723,     0.06437143719,    0.004031512737
          0,           0,          40,      0.3728375705,      0.2139492382,     0.05587865803
          0,           0,          41,      0.3221461401,      0.3375303158,       0.096305861
          0,           0,          42,       0.256884611,      0.4246293301,      0.1215065473
          0,           0,          43,       0.191282636,      0.4702122874,      0.1305577798
          0,           0,          44,      0.1356389314,      0.4738492351,      0.1247127993
          0,           0,          45,     0.09537617495,      0.4435473867,      0.1067143242
          0,           0,          46,     0.07177812053,      0.3878019771,     0.07976061415
          0,           0,          47,     0.06296667805,      0.3147775269,     0.04734889021
          0,           0,          48,      0.0649286836,       0.233245438,     0.01327963405
          0,           0,          49,     0.07297818366,      0.1520399784,    -0.01868985692
          0,           0,          50,     0.08273899851,     0.07942531168,    -0.04525285719
          0,           0,          51,     0.09087547198,     0.02203352794,    -0.06405535389
          0,           0,          52,     0.09550089603,    -0.01569229781,     -0.0738119131
          0,           0,          53,     0.09610477676,    -0.03221754829,    -0.07439103149
          0,           0,          54,      0.0931909044,    -0.02846793762,    -0.06675690544
          0,           0,          55,     0.08784128018,   -0.007276951079,    -0.05272943506
          0,           0,          56,     0.08132474828,     0.02712800305,    -0.03466467994
          0,           0,          57,     0.07478535523,     0.06968556261,    -0.01511196093
          0,           0,          58,      0.0690472462,      0.1151485653,    0.003521514843
          0,           0,          59,     0.06452563229,      0.1586081271,      0.0192363416
          0,           0,          60,     0.06125279546,      0.1959199122,     0.03061015893
          0,           0,          61,     0.05897195507,       0.224120722,     0.03691971943
          0,           0,          62,     0.05726603512,      0.2415720978,     0.03812837297
          0,           0,          63,     0.05571149091,      0.2479157788,     0.03479973677
          0,           0,          64,     0.05404950913,      0.2439995622,     0.02795705493
          0,           0,          65,     0.05201861493,      0.2316210181,     0.01886384968
          0,           0,          66,     0.04944252886,      0.2131688607,    0.008857626722
          0,           0,          67,     0.04638546634,      0.1914342679,  -0.0007896106581
          0,           0,          68,     0.04306982735,      0.1692664914,   -0.009018830824
          0,           0,          69,     0.03979173141,      0.1492400186,    -0.01507312796
          0,           0,          70,     0.03685089245,      0.1334039967,    -0.01855016076
          0,           0,          71,     0.03448921417,      0.1231148947,    -0.01939188392
          0,           0,          72,     0.03285294898,      0.1189752639,    -0.01784846333
          0,           0,          73,     0.03197376935,      0.1208433425,    -0.01440387606
          0,           0,          74,     0.03177565969,      0.1279496803,   -0.009689037222
          0,           0,          75,     0.03209577904,      0.1390420852,   -0.004388125303
          0,           0,          76,     0.03272059561,      0.1525938026,   0.0008460326165
          0,           0,          77,     0.03342167425,       0.166985842,    0.005461956956
          0,           0,          78,      0.0339941039,       0.180696525,    0.009048766947
          0,           0,          79,     0.03428182963,      0.1924380489,     0.01136307243
          0,           0,          80,     0.03419720385,      0.2012805413,      0.0123290539
          0,           0,          81,       0.033722557,      0.2067007174,     0.01202664527
          0,           0,          82,     0.03290524196,      0.2086104914,      0.0106612713
          0,           0,          83,     0.03183934525,      0.2073049301,    0.008526071416
          0,           0,          84,     0.03064686649,      0.2034014943,    0.005956776842
          0,           0,          85,     0.02945335401,      0.1977247416,    0.003292621106
          0,           0,          86,     0.02837023228,      0.1912068773,   0.0008385436481
          0,           0,          87,     0.02747883402,      0.1847603862,   -0.001161253215
          0,           0,          88,     0.02682447469,      0.1791931727,   -0.002543142735
          0,           0,          89,     0.02641392512,      0.1751188011,   -0.003229282393
          0,           0,          90,     0.02622155883,      0.1729229953,   -0.003226940726
          0,           0,          91,     0.02619633078,      0.1727340038,   -0.002615329201
          0,           0,          92,     0.02627434877,      0.1744487128,   -0.001530319214
          0,           0,          93,     0.02638804229,      0.1777575044,  -0.0001413455529
          0,           0,          94,     0.02647752092,      0.1822133041,    0.001368696618
          0,           0,          95,     0.02649563692,      0.1872838089,    0.002826212616
          0,           0,          96,     0.02641384494,      0.1924323034,    0.004082471789
